Bin , nEvents , Efficiencies
50,3,6e-05
70,3,6e-05
80,11,0.00022
90,11,0.00022
100,24,0.00048
120,42,0.00084
140,34,0.00068
160,27,0.00054
180,40,0.0008
200,30,0.0006
220,38,0.00076
240,38,0.00076
260,40,0.0008
280,35,0.0007
300,34,0.00068
320,33,0.00066
340,29,0.00058
360,59,0.00118
400,147,0.00294
500,132,0.00264
600,92,0.00184
700,82,0.00164
800,232,0.00464
