Bin , nEvents , Efficiencies
50,0,0.0
100,1,2e-05
150,2,4e-05
200,4,8e-05
250,2,4e-05
300,3,6e-05
350,4,8e-05
400,0,0.0
500,8,0.00016
600,22,0.00044
