Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
220,1,2e-05
240,0,0
260,2,4e-05
280,0,0
300,0,0
320,0,0
340,0,0
360,1,2e-05
380,1,2e-05
400,1,2e-05
420,2,4e-05
440,1,2e-05
460,1,2e-05
480,1,2e-05
500,1,2e-05
520,2,4e-05
540,1,2e-05
560,4,8e-05
580,2,4e-05
600,5,0.0001
630,4,8e-05
660,5,0.0001
690,16,0.00032
720,10,0.0002
750,19,0.00038
780,20,0.0004
810,18,0.00036
840,18,0.00036
870,22,0.00044
900,57,0.00114
950,63,0.00126
1000,47,0.00094
1050,67,0.00134
1100,76,0.00152
1150,54,0.00108
1200,68,0.00136
1250,100,0.002
1310,107,0.00214
1370,105,0.0021
1430,107,0.00214
1490,115,0.0023
1550,125,0.0025
1610,173,0.00346
1680,149,0.00298
1750,182,0.00364
1820,175,0.0035
1890,257,0.00514
1970,243,0.00486
2050,253,0.00506
