bin_HH,nEvents,Efficiencies
50,24,2.4e-05
100,44,4.4e-05
150,60,6e-05
200,54,5.4e-05
250,68,6.8e-05
300,75,7.5e-05
350,76,7.6e-05
400,128,0.000128
500,99,9.9e-05
600,499,0.000499
