Bin , nEvents , Efficiencies
152.41,14,0.00056
165.05,17,0.00068
178.75,24,0.00096
193.57,32,0.00128
209.63,40,0.0016
227.02,48,0.00192
245.86,68,0.00272
266.25,102,0.00408
288.34,128,0.00512
312.26,130,0.0052
338.16,157,0.00628
366.21,245,0.0098
396.59,237,0.00948
429.49,263,0.01052
465.12,324,0.01296
503.71,330,0.0132
545.49,375,0.015
590.74,479,0.01916
639.75,541,0.02164
692.82,582,0.02328
750.29,648,0.02592
812.54,692,0.02768
879.94,786,0.03144
952.94,863,0.03452
1032,879,0.03516
1117.6,931,0.03724
1210.3,952,0.03808
1310.7,960,0.0384
1419.4,941,0.03764
1537.2,906,0.03624
1664.7,903,0.03612
1802.8,775,0.031
1952.4,696,0.02784
2114.3,560,0.0224
2289.7,528,0.02112
2479.7,364,0.01456
