Bin , nEvents , Efficiencies
150,36,0.00144
200,64,0.00256
250,73,0.00292
300,63,0.00252
350,69,0.00276
400,72,0.00288
450,53,0.00212
500,91,0.00364
600,64,0.00256
700,42,0.00168
800,28,0.00112
900,29,0.00116
1000,36,0.00144
1150,34,0.00136
