Bin , nEvents , Efficiencies
150,2,4e-05
160,1,2e-05
170,2,4e-05
180,1,2e-05
190,3,6e-05
200,8,0.00016
220,17,0.00034
240,13,0.00026
260,22,0.00044
280,31,0.00062
300,39,0.00078
320,42,0.00084
340,56,0.00112
360,70,0.0014
380,72,0.00144
400,83,0.00166
420,105,0.0021
440,95,0.0019
460,96,0.00192
480,131,0.00262
500,116,0.00232
520,112,0.00224
540,101,0.00202
560,138,0.00276
580,125,0.0025
600,191,0.00382
630,227,0.00454
660,212,0.00424
690,219,0.00438
720,249,0.00498
750,244,0.00488
780,276,0.00552
810,275,0.0055
840,274,0.00548
870,277,0.00554
900,465,0.0093
950,543,0.01086
1000,474,0.00948
1050,540,0.0108
1100,537,0.01074
1150,551,0.01102
1200,532,0.01064
1250,704,0.01408
1310,734,0.01468
1370,704,0.01408
1430,678,0.01356
1490,666,0.01332
1550,703,0.01406
1610,800,0.016
1680,771,0.01542
1750,689,0.01378
1820,686,0.01372
1890,775,0.0155
1970,707,0.01414
2050,631,0.01262
