Bin , nEvents , Efficiencies
152.41,223,0.00892
165.05,290,0.0116
178.75,323,0.01292
193.57,358,0.01432
209.63,415,0.0166
227.02,449,0.01796
245.86,509,0.02036
266.25,466,0.01864
288.34,505,0.0202
312.26,526,0.02104
338.16,604,0.02416
366.21,607,0.02428
396.59,638,0.02552
429.49,608,0.02432
465.12,668,0.02672
503.71,613,0.02452
545.49,652,0.02608
590.74,656,0.02624
639.75,588,0.02352
692.82,582,0.02328
750.29,568,0.02272
812.54,544,0.02176
879.94,487,0.01948
952.94,510,0.0204
1032,494,0.01976
1117.6,456,0.01824
1210.3,416,0.01664
1310.7,355,0.0142
1419.4,317,0.01268
1537.2,256,0.01024
1664.7,230,0.0092
1802.8,191,0.00764
1952.4,162,0.00648
2114.3,134,0.00536
2289.7,91,0.00364
2479.7,76,0.00304
