Bin , nEvents , Efficiencies
50,6,0.00012
70,10,0.0002
80,11,0.00022
90,14,0.00028
100,37,0.00074
120,41,0.00082
140,42,0.00084
160,40,0.0008
180,34,0.00068
200,38,0.00076
220,35,0.0007
240,39,0.00078
260,37,0.00074
280,39,0.00078
300,33,0.00066
320,36,0.00072
340,33,0.00066
360,68,0.00136
400,134,0.00268
500,129,0.00258
600,96,0.00192
700,79,0.00158
800,270,0.0054
