Bin , nEvents , Efficiencies
150,1270,0.0254
160,1140,0.0228
170,958,0.01916
180,819,0.01638
190,779,0.01558
200,1367,0.02734
220,1035,0.0207
240,899,0.01798
260,709,0.01418
280,640,0.0128
300,523,0.01046
320,449,0.00898
340,382,0.00764
360,323,0.00646
380,253,0.00506
400,267,0.00534
420,221,0.00442
440,169,0.00338
460,162,0.00324
480,144,0.00288
500,133,0.00266
520,123,0.00246
540,87,0.00174
560,89,0.00178
580,79,0.00158
600,96,0.00192
630,85,0.0017
660,66,0.00132
690,53,0.00106
720,50,0.001
750,43,0.00086
780,33,0.00066
810,39,0.00078
840,41,0.00082
870,26,0.00052
900,34,0.00068
950,29,0.00058
1000,23,0.00046
1050,20,0.0004
1100,15,0.0003
1150,15,0.0003
1200,7,0.00014
1250,11,0.00022
1310,8,0.00016
1370,4,8e-05
1430,6,0.00012
1490,1,2e-05
1550,2,4e-05
1610,2,4e-05
1680,2,4e-05
1750,0,0
1820,3,6e-05
1890,1,2e-05
1970,0,0
2050,2,4e-05
