Bin , nEvents , Efficiencies
150,1264,0.02528
160,1113,0.02226
170,990,0.0198
180,933,0.01866
190,768,0.01536
200,1284,0.02568
220,1105,0.0221
240,887,0.01774
260,720,0.0144
280,629,0.01258
300,497,0.00994
320,475,0.0095
340,385,0.0077
360,284,0.00568
380,264,0.00528
400,234,0.00468
420,197,0.00394
440,154,0.00308
460,156,0.00312
480,122,0.00244
500,105,0.0021
520,97,0.00194
540,83,0.00166
560,69,0.00138
580,63,0.00126
600,80,0.0016
630,56,0.00112
660,65,0.0013
690,49,0.00098
720,50,0.001
750,34,0.00068
780,28,0.00056
810,19,0.00038
840,14,0.00028
870,18,0.00036
900,24,0.00048
950,19,0.00038
1000,17,0.00034
1050,15,0.0003
1100,11,0.00022
1150,7,0.00014
1200,2,4e-05
1250,4,8e-05
1310,5,0.0001
1370,3,6e-05
1430,5,0.0001
1490,3,6e-05
1550,0,0
1610,1,2e-05
1680,1,2e-05
1750,1,2e-05
1820,0,0
1890,3,6e-05
1970,0,0
2050,0,0
