Bin , nEvents , Efficiencies
150,5,0.0002
160,4,0.00016
170,4,0.00016
180,4,0.00016
190,3,0.00012
200,9,0.00036
220,26,0.00104
240,18,0.00072
260,20,0.0008
280,34,0.00136
300,44,0.00176
320,48,0.00192
340,67,0.00268
360,55,0.0022
380,67,0.00268
400,69,0.00276
420,83,0.00332
440,75,0.003
460,84,0.00336
480,93,0.00372
500,106,0.00424
520,96,0.00384
540,98,0.00392
560,109,0.00436
580,122,0.00488
600,162,0.00648
630,159,0.00636
660,189,0.00756
690,187,0.00748
720,169,0.00676
750,192,0.00768
780,164,0.00656
810,190,0.0076
840,198,0.00792
870,204,0.00816
900,325,0.013
950,282,0.01128
1000,322,0.01288
1050,333,0.01332
1100,332,0.01328
1150,293,0.01172
1200,307,0.01228
1250,359,0.01436
1310,371,0.01484
1370,339,0.01356
1430,336,0.01344
1490,351,0.01404
1550,319,0.01276
1610,361,0.01444
1680,356,0.01424
1750,321,0.01284
1820,295,0.0118
1890,300,0.012
1970,308,0.01232
2050,285,0.0114
