bin_HH,nEvents,Efficiencies
150,0,0.0
200,3,6e-05
250,1,2e-05
300,0,0.0
350,6,0.00012
400,6,0.00012
450,6,0.00012
500,16,0.00032
600,25,0.0005
700,40,0.0008
800,36,0.00072
900,45,0.0009
1000,68,0.00136
1150,119,0.00238
