bin_HH,nEvents,Efficiencies
50,6,0.00012
100,1,2e-05
150,4,8e-05
200,0,0.0
250,5,0.0001
300,2,4e-05
350,1,2e-05
400,11,0.00022
500,3,6e-05
600,41,0.00082
