Bin , nEvents , Efficiencies
152.41,0,0
165.05,0,0
178.75,0,0
193.57,1,4e-05
209.63,2,8e-05
227.02,0,0
245.86,1,4e-05
266.25,1,4e-05
288.34,0,0
312.26,0,0
338.16,1,4e-05
366.21,3,0.00012
396.59,1,4e-05
429.49,5,0.0002
465.12,11,0.00044
503.71,5,0.0002
545.49,11,0.00044
590.74,12,0.00048
639.75,24,0.00096
692.82,34,0.00136
750.29,43,0.00172
812.54,44,0.00176
879.94,58,0.00232
952.94,72,0.00288
1032,75,0.003
1117.6,108,0.00432
1210.3,111,0.00444
1310.7,148,0.00592
1419.4,199,0.00796
1537.2,225,0.009
1664.7,264,0.01056
1802.8,298,0.01192
1952.4,447,0.01788
2114.3,516,0.02064
2289.7,597,0.02388
2479.7,745,0.0298
