Bin , nEvents , Efficiencies
50,3,0.00012
100,4,0.00016
150,3,0.00012
200,1,4e-05
250,2,8e-05
300,2,8e-05
350,2,8e-05
400,1,4e-05
500,0,0
600,24,0.00096
