Bin , nEvents , Efficiencies
152.41,10,0.0002
165.05,8,0.00016
178.75,21,0.00042
193.57,22,0.00044
209.63,40,0.0008
227.02,56,0.00112
245.86,73,0.00146
266.25,83,0.00166
288.34,117,0.00234
312.26,178,0.00356
338.16,172,0.00344
366.21,205,0.0041
396.59,257,0.00514
429.49,354,0.00708
465.12,413,0.00826
503.71,454,0.00908
545.49,556,0.01112
590.74,603,0.01206
639.75,723,0.01446
692.82,792,0.01584
750.29,936,0.01872
812.54,1072,0.02144
879.94,1184,0.02368
952.94,1328,0.02656
1032,1403,0.02806
1117.6,1559,0.03118
1210.3,1555,0.0311
1310.7,1722,0.03444
1419.4,1726,0.03452
1537.2,1803,0.03606
1664.7,1749,0.03498
1802.8,1784,0.03568
1952.4,1584,0.03168
2114.3,1458,0.02916
2289.7,1208,0.02416
2479.7,1104,0.02208
