Bin , nEvents , Efficiencies
150,41,0.00082
160,56,0.00112
170,56,0.00112
180,73,0.00146
190,62,0.00124
200,167,0.00334
220,168,0.00336
240,176,0.00352
260,181,0.00362
280,217,0.00434
300,247,0.00494
320,220,0.0044
340,244,0.00488
360,244,0.00488
380,244,0.00488
400,271,0.00542
420,265,0.0053
440,305,0.0061
460,310,0.0062
480,317,0.00634
500,340,0.0068
520,323,0.00646
540,337,0.00674
560,298,0.00596
580,354,0.00708
600,500,0.01
630,509,0.01018
660,480,0.0096
690,491,0.00982
720,552,0.01104
750,481,0.00962
780,496,0.00992
810,519,0.01038
840,480,0.0096
870,484,0.00968
900,773,0.01546
950,802,0.01604
1000,755,0.0151
1050,745,0.0149
1100,678,0.01356
1150,644,0.01288
1200,621,0.01242
1250,679,0.01358
1310,714,0.01428
1370,610,0.0122
1430,566,0.01132
1490,518,0.01036
1550,504,0.01008
1610,475,0.0095
1680,436,0.00872
1750,360,0.0072
1820,365,0.0073
1890,391,0.00782
1970,323,0.00646
2050,242,0.00484
