Bin , nEvents , Efficiencies
150,4,8e-05
160,4,8e-05
170,6,0.00012
180,5,0.0001
190,4,8e-05
200,13,0.00026
220,24,0.00048
240,29,0.00058
260,32,0.00064
280,51,0.00102
300,60,0.0012
320,73,0.00146
340,71,0.00142
360,85,0.0017
380,83,0.00166
400,88,0.00176
420,110,0.0022
440,125,0.0025
460,124,0.00248
480,109,0.00218
500,124,0.00248
520,166,0.00332
540,151,0.00302
560,157,0.00314
580,161,0.00322
600,239,0.00478
630,261,0.00522
660,266,0.00532
690,266,0.00532
720,293,0.00586
750,295,0.0059
780,314,0.00628
810,336,0.00672
840,326,0.00652
870,338,0.00676
900,572,0.01144
950,539,0.01078
1000,546,0.01092
1050,570,0.0114
1100,591,0.01182
1150,588,0.01176
1200,579,0.01158
1250,656,0.01312
1310,671,0.01342
1370,652,0.01304
1430,665,0.0133
1490,672,0.01344
1550,627,0.01254
1610,698,0.01396
1680,667,0.01334
1750,675,0.0135
1820,658,0.01316
1890,678,0.01356
1970,654,0.01308
2050,645,0.0129
