Bin , nEvents , Efficiencies
152.41,0,0
165.05,0,0
178.75,0,0
193.57,0,0
209.63,0,0
227.02,1,4e-05
245.86,0,0
266.25,0,0
288.34,1,4e-05
312.26,1,4e-05
338.16,1,4e-05
366.21,2,8e-05
396.59,1,4e-05
429.49,6,0.00024
465.12,9,0.00036
503.71,12,0.00048
545.49,15,0.0006
590.74,18,0.00072
639.75,34,0.00136
692.82,52,0.00208
750.29,48,0.00192
812.54,65,0.0026
879.94,75,0.003
952.94,100,0.004
1032,121,0.00484
1117.6,133,0.00532
1210.3,158,0.00632
1310.7,186,0.00744
1419.4,224,0.00896
1537.2,288,0.01152
1664.7,372,0.01488
1802.8,422,0.01688
1952.4,511,0.02044
2114.3,660,0.0264
2289.7,770,0.0308
2479.7,836,0.03344
