Bin , nEvents , Efficiencies
152.41,82,0.00164
165.05,119,0.00238
178.75,160,0.0032
193.57,225,0.0045
209.63,247,0.00494
227.02,286,0.00572
245.86,361,0.00722
266.25,441,0.00882
288.34,523,0.01046
312.26,567,0.01134
338.16,678,0.01356
366.21,786,0.01572
396.59,906,0.01812
429.49,1039,0.02078
465.12,1144,0.02288
503.71,1325,0.0265
545.49,1515,0.0303
590.74,1727,0.03454
639.75,1884,0.03768
692.82,2110,0.0422
750.29,2238,0.04476
812.54,2346,0.04692
879.94,2292,0.04584
952.94,2355,0.0471
1032,2227,0.04454
1117.6,1938,0.03876
1210.3,1816,0.03632
1310.7,1498,0.02996
1419.4,1274,0.02548
1537.2,988,0.01976
1664.7,747,0.01494
1802.8,561,0.01122
1952.4,424,0.00848
2114.3,307,0.00614
2289.7,209,0.00418
2479.7,106,0.00212
