Mass,"Y10LL[1,1]","Y10LL[2,1]","Y10LL[3,1]","Y10RR[1,1]","Y10RR[2,1]","Y10RR[3,1]","Y10LL[1,2]","Y10LL[2,2]","Y10LL[3,2]","Y10RR[1,2]","Y10RR[2,2]","Y10RR[3,2]","Y10LL[1,3]","Y10LL[2,3]","Y10LL[3,3]","Y10RR[1,3]","Y10RR[2,3]","Y10RR[3,3]"
1000.0,-0.7033499999999999,-0.083822,,-0.479705,-0.0561319,,-0.70335,-0.083822,,-0.479705,-0.0561319,,-0.70242,-0.083927,,-0.48092,-0.0561841,
1500.0,-0.323372,-0.0379553,,-0.221962,-0.0255545,,-0.323372,-0.0379553,,-0.221962,-0.0255545,,-0.323784,-0.0382564,,-0.222089,-0.0254787,
2000.0,-0.18520799999999998,-0.0214751,,-0.127345,-0.0144249,,-0.185208,-0.0214751,,-0.127345,-0.0144249,,-0.185216,-0.0215774,,-0.127086,-0.0144383,
2500.0,-0.120097,-0.0138118,,-0.082395,-0.0093509,,-0.120097,-0.0138118,,-0.082395,-0.0093509,,-0.11929,-0.0138617,,-0.082486,-0.0092899,
3000.0,-0.083309,-0.0096592,,-0.057706,-0.0064664,,-0.083309,-0.0096592,,-0.057706,-0.0064664,,-0.083707,-0.0096381,,-0.0574988,-0.0064342,
4000.0,-0.0474145,-0.00543659,,-0.0325887,-0.00364251,,-0.0474145,-0.00543659,,-0.0325887,-0.00364251,,-0.0471113,-0.00544986,,-0.0324962,-0.00364924,
5000.0,-0.0301811,-0.00348417,,-0.0207923,-0.00233309,,-0.0301811,-0.00348417,,-0.0207923,-0.00233309,,-0.0302159,-0.00348598,,-0.0207924,-0.00234592,
