Mass,"Y10LL[1,1]","Y10LL[2,1]","Y10LL[3,1]","Y10RR[1,1]","Y10RR[2,1]","Y10RR[3,1]","Y10LL[1,2]","Y10LL[2,2]","Y10LL[3,2]","Y10RR[1,2]","Y10RR[2,2]","Y10RR[3,2]","Y10LL[1,3]","Y10LL[2,3]","Y10LL[3,3]","Y10RR[1,3]","Y10RR[2,3]","Y10RR[3,3]"
1000,0.1340299106958,0.0095764280718,,0.133809814025,0.009640334936,,0.1340299106958,0.0095764280718,,0.133809814025,0.009640334936,,0.1338183454839,0.0096456457112,,0.133716608577,0.009696868958,
1500,0.01546783415963,0.00075958954659,,0.01546923797956,0.00076095455466,,0.01546783415963,0.00075958954659,,0.01546923797956,0.00076095455466,,0.01550606496997,0.00076450296486,,0.01548601808524,0.00076597301412,
2000,0.002656097341808,9.4628689641E-05,,0.00264897754823,9.4873680645E-05,,0.002656097341808,9.4628689641E-05,,0.00264897754823,9.4873680645E-05,,0.002653598282645,9.495581796E-05,,0.002647295293049,9.5233407423E-05,
2500,0.0005545250379348,1.49840731366E-05,,0.0005525276231292,1.49871119571E-05,,0.0005545250379348,1.49840731366E-05,,0.0005525276231292,1.49871119571E-05,,0.0005537191575671,1.49972458614E-05,,0.000552403636131,1.49936392618E-05,
3000,0.00012935816979576,2.68983746018E-06,,0.00012895788367787,2.68590275587E-06,,0.00012935816979576,2.68983746018E-06,,0.00012895788367787,2.68590275587E-06,,0.00012882602475148,2.69067370855E-06,,0.0001282107771277,2.68843304849E-06,
4000,1.47940891915643E-05,1.009299675473E-07,,8.1309859193416E-06,1.008806901075E-07,,8.1492409634563E-06,1.009299675473E-07,,8.1309859193416E-06,1.008806901075E-07,,8.1389724963962E-06,1.012908882266E-07,,8.1081681193942E-06,1.012886924979E-07,
5000,1.02370541915341E-06,3.865264892995E-09,,5.39162709319721E-07,3.863377019828E-09,,5.41627079792835E-07,3.865264892995E-09,,5.39162709319721E-07,3.863377019828E-09,,5.41367578738373E-07,3.875569558213E-09,,5.39855999176217E-07,3.8719113019E-09,
