Bin , nEvents , Efficiencies
150,565,0.0226
160,548,0.02192
170,474,0.01896
180,427,0.01708
190,383,0.01532
200,683,0.02732
220,518,0.02072
240,425,0.017
260,360,0.0144
280,321,0.01284
300,283,0.01132
320,234,0.00936
340,208,0.00832
360,185,0.0074
380,145,0.0058
400,120,0.0048
420,112,0.00448
440,91,0.00364
460,87,0.00348
480,70,0.0028
500,67,0.00268
520,77,0.00308
540,61,0.00244
560,42,0.00168
580,43,0.00172
600,41,0.00164
630,40,0.0016
660,52,0.00208
690,33,0.00132
720,30,0.0012
750,28,0.00112
780,16,0.00064
810,24,0.00096
840,19,0.00076
870,17,0.00068
900,14,0.00056
950,9,0.00036
1000,11,0.00044
1050,11,0.00044
1100,9,0.00036
1150,2,8e-05
1200,10,0.0004
1250,4,0.00016
1310,5,0.0002
1370,3,0.00012
1430,1,4e-05
1490,0,0
1550,2,8e-05
1610,1,4e-05
1680,0,0
1750,1,4e-05
1820,1,4e-05
1890,1,4e-05
1970,0,0
2050,0,0
