Bin , nEvents , Efficiencies
50,9,0.00018
70,21,0.00042
80,49,0.00098
90,57,0.00114
100,121,0.00242
120,94,0.00188
140,82,0.00164
160,54,0.00108
180,47,0.00094
200,53,0.00106
220,44,0.00088
240,42,0.00084
260,22,0.00044
280,21,0.00042
300,18,0.00036
320,15,0.0003
340,17,0.00034
360,25,0.0005
400,55,0.0011
500,23,0.00046
600,17,0.00034
700,12,0.00024
800,15,0.0003
