Bin , nEvents , Efficiencies
50,4,8e-05
100,12,0.00024
150,1,2e-05
200,2,4e-05
250,3,6e-05
300,2,4e-05
350,1,2e-05
400,1,2e-05
500,2,4e-05
600,0,0
