Bin , nEvents , Efficiencies
152.41,243,0.00972
165.05,309,0.01236
178.75,375,0.015
193.57,379,0.01516
209.63,481,0.01924
227.02,456,0.01824
245.86,510,0.0204
266.25,595,0.0238
288.34,594,0.02376
312.26,562,0.02248
338.16,654,0.02616
366.21,612,0.02448
396.59,619,0.02476
429.49,676,0.02704
465.12,670,0.0268
503.71,670,0.0268
545.49,645,0.0258
590.74,651,0.02604
639.75,665,0.0266
692.82,598,0.02392
750.29,573,0.02292
812.54,557,0.02228
879.94,513,0.02052
952.94,507,0.02028
1032,463,0.01852
1117.6,405,0.0162
1210.3,304,0.01216
1310.7,286,0.01144
1419.4,239,0.00956
1537.2,203,0.00812
1664.7,147,0.00588
1802.8,126,0.00504
1952.4,80,0.0032
2114.3,64,0.00256
2289.7,65,0.0026
2479.7,36,0.00144
