Bin , nEvents , Efficiencies
152.41,1885,0.0377
165.05,1804,0.03608
178.75,1732,0.03464
193.57,1608,0.03216
209.63,1475,0.0295
227.02,1335,0.0267
245.86,1163,0.02326
266.25,1112,0.02224
288.34,959,0.01918
312.26,836,0.01672
338.16,726,0.01452
366.21,664,0.01328
396.59,541,0.01082
429.49,434,0.00868
465.12,392,0.00784
503.71,354,0.00708
545.49,269,0.00538
590.74,221,0.00442
639.75,200,0.004
692.82,150,0.003
750.29,129,0.00258
812.54,96,0.00192
879.94,74,0.00148
952.94,49,0.00098
1032,31,0.00062
1117.6,35,0.0007
1210.3,23,0.00046
1310.7,16,0.00032
1419.4,17,0.00034
1537.2,5,0.0001
1664.7,5,0.0001
1802.8,3,6e-05
1952.4,4,8e-05
2114.3,2,4e-05
2289.7,0,0
2479.7,0,0
