Mass,"Y10LL[1,1]","Y10LL[2,1]","Y10LL[3,1]","Y10RR[1,1]","Y10RR[2,1]","Y10RR[3,1]","Y10LL[1,2]","Y10LL[2,2]","Y10LL[3,2]","Y10RR[1,2]","Y10RR[2,2]","Y10RR[3,2]","Y10LL[1,3]","Y10LL[2,3]","Y10LL[3,3]","Y10RR[1,3]","Y10RR[2,3]","Y10RR[3,3]"
1000,0.007213785100000001,0.0011809651,,0.0051555851,0.0011027281,,0.0072137851,0.0011809651,,0.0051555851,0.0011027281,,0.0071518851,0.0011813531,,0.0051212851,0.0011036041,
1500,0.000373273943,5.9203443E-05,,0.000279042943,5.5848643E-05,,0.000373273943,5.9203443E-05,,0.000279042943,5.5848643E-05,,0.000373188943,5.9216543E-05,,0.000278910943,5.5836243E-05,
2000,2.61383607E-05,4.0569407E-06,,2.02628607E-05,3.8458027E-06,,2.61383607E-05,4.0569407E-06,,2.02628607E-05,3.8458027E-06,,2.61233607E-05,4.0565907E-06,,2.03050607E-05,3.8455107E-06,
2500,2.070169999E-06,3.16003999E-07,,1.650439999E-06,3.00383599E-07,,2.070169999E-06,3.16003999E-07,,1.650439999E-06,3.00383599E-07,,2.069479999E-06,3.16003599E-07,,1.646139999E-06,3.00405599E-07,
3000,1.789571038E-07,2.68548038E-08,,1.454371038E-07,2.55389558E-08,,1.789571038E-07,2.68548038E-08,,1.454371038E-07,2.55389558E-08,,1.788411038E-07,2.68548888E-08,,1.449681038E-07,2.55398888E-08,
4000,1.43232094137E-09,2.1070054137E-10,,1.19318094137E-09,2.0386665937E-10,,1.43232094137E-09,2.1070054137E-10,,1.19318094137E-09,2.0386665937E-10,,1.44170094137E-09,2.1070094837E-10,,1.19759094137E-09,2.0386674837E-10,
5000,2.9414600395E-12,4.416405395E-13,,2.4713400395E-12,4.324913384E-13,,2.9414600395E-12,4.416405395E-13,,2.4713400395E-12,4.324913384E-13,,2.9387400395E-12,4.416404337E-13,,2.4682400395E-12,4.324913337E-13,
