Bin , nEvents , Efficiencies
152.41,941,0.03764
165.05,876,0.03504
178.75,963,0.03852
193.57,799,0.03196
209.63,726,0.02904
227.02,724,0.02896
245.86,650,0.026
266.25,587,0.02348
288.34,529,0.02116
312.26,469,0.01876
338.16,409,0.01636
366.21,338,0.01352
396.59,317,0.01268
429.49,271,0.01084
465.12,241,0.00964
503.71,215,0.0086
545.49,187,0.00748
590.74,160,0.0064
639.75,119,0.00476
692.82,98,0.00392
750.29,85,0.0034
812.54,59,0.00236
879.94,55,0.0022
952.94,31,0.00124
1032,45,0.0018
1117.6,25,0.001
1210.3,23,0.00092
1310.7,9,0.00036
1419.4,8,0.00032
1537.2,3,0.00012
1664.7,3,0.00012
1802.8,3,0.00012
1952.4,1,4e-05
2114.3,1,4e-05
2289.7,1,4e-05
2479.7,0,0
