Bin , nEvents , Efficiencies
152.41,272,0.01088
165.05,299,0.01196
178.75,302,0.01208
193.57,376,0.01504
209.63,423,0.01692
227.02,411,0.01644
245.86,474,0.01896
266.25,497,0.01988
288.34,537,0.02148
312.26,589,0.02356
338.16,562,0.02248
366.21,579,0.02316
396.59,604,0.02416
429.49,620,0.0248
465.12,619,0.02476
503.71,587,0.02348
545.49,637,0.02548
590.74,598,0.02392
639.75,618,0.02472
692.82,593,0.02372
750.29,577,0.02308
812.54,540,0.0216
879.94,529,0.02116
952.94,482,0.01928
1032,455,0.0182
1117.6,453,0.01812
1210.3,408,0.01632
1310.7,321,0.01284
1419.4,300,0.012
1537.2,291,0.01164
1664.7,252,0.01008
1802.8,210,0.0084
1952.4,176,0.00704
2114.3,144,0.00576
2289.7,98,0.00392
2479.7,71,0.00284
