Bin , nEvents , Efficiencies
152.41,97,0.00194
165.05,119,0.00238
178.75,150,0.003
193.57,175,0.0035
209.63,198,0.00396
227.02,233,0.00466
245.86,325,0.0065
266.25,385,0.0077
288.34,447,0.00894
312.26,496,0.00992
338.16,568,0.01136
366.21,666,0.01332
396.59,756,0.01512
429.49,900,0.018
465.12,990,0.0198
503.71,1120,0.0224
545.49,1224,0.02448
590.74,1453,0.02906
639.75,1501,0.03002
692.82,1751,0.03502
750.29,1800,0.036
812.54,1966,0.03932
879.94,2084,0.04168
952.94,2067,0.04134
1032,2134,0.04268
1117.6,2093,0.04186
1210.3,2076,0.04152
1310.7,1976,0.03952
1419.4,1853,0.03706
1537.2,1624,0.03248
1664.7,1356,0.02712
1802.8,1098,0.02196
1952.4,784,0.01568
2114.3,633,0.01266
2289.7,407,0.00814
2479.7,253,0.00506
