Bin , nEvents , Efficiencies
150,62,0.00124
160,67,0.00134
170,69,0.00138
180,91,0.00182
190,87,0.00174
200,189,0.00378
220,221,0.00442
240,208,0.00416
260,264,0.00528
280,291,0.00582
300,280,0.0056
320,323,0.00646
340,358,0.00716
360,352,0.00704
380,384,0.00768
400,362,0.00724
420,386,0.00772
440,402,0.00804
460,356,0.00712
480,391,0.00782
500,407,0.00814
520,381,0.00762
540,404,0.00808
560,380,0.0076
580,389,0.00778
600,602,0.01204
630,575,0.0115
660,594,0.01188
690,578,0.01156
720,644,0.01288
750,601,0.01202
780,556,0.01112
810,556,0.01112
840,537,0.01074
870,488,0.00976
900,807,0.01614
950,761,0.01522
1000,736,0.01472
1050,694,0.01388
1100,631,0.01262
1150,597,0.01194
1200,520,0.0104
1250,581,0.01162
1310,542,0.01084
1370,462,0.00924
1430,412,0.00824
1490,364,0.00728
1550,342,0.00684
1610,303,0.00606
1680,318,0.00636
1750,257,0.00514
1820,235,0.0047
1890,218,0.00436
1970,191,0.00382
2050,156,0.00312
