Bin , nEvents , Efficiencies
150,2,4e-05
200,7,0.00014
250,4,8e-05
300,9,0.00018
350,8,0.00016
400,9,0.00018
450,4,8e-05
500,4,8e-05
550,6,0.00012
650,19,0.00038
