Bin , nEvents , Efficiencies
152.41,150,0.003
165.05,157,0.00314
178.75,172,0.00344
193.57,209,0.00418
209.63,288,0.00576
227.02,365,0.0073
245.86,400,0.008
266.25,462,0.00924
288.34,562,0.01124
312.26,595,0.0119
338.16,781,0.01562
366.21,890,0.0178
396.59,970,0.0194
429.49,1050,0.021
465.12,1195,0.0239
503.71,1337,0.02674
545.49,1476,0.02952
590.74,1647,0.03294
639.75,1637,0.03274
692.82,1838,0.03676
750.29,1932,0.03864
812.54,1852,0.03704
879.94,1989,0.03978
952.94,1924,0.03848
1032,1847,0.03694
1117.6,1771,0.03542
1210.3,1594,0.03188
1310.7,1458,0.02916
1419.4,1299,0.02598
1537.2,1122,0.02244
1664.7,904,0.01808
1802.8,690,0.0138
1952.4,530,0.0106
2114.3,418,0.00836
2289.7,256,0.00512
2479.7,198,0.00396
