bin_HH,nEvents,Efficiencies
150,47,0.00094
200,101,0.00202
250,138,0.00276
300,159,0.00318
350,130,0.0026
400,141,0.00282
450,125,0.0025
500,238,0.00476
600,196,0.00392
700,160,0.0032
800,119,0.00238
900,110,0.0022
1000,126,0.00252
1150,167,0.00334
