Bin , nEvents , Efficiencies
150,310,0.0062
160,298,0.00596
170,405,0.0081
180,294,0.00588
190,328,0.00656
200,535,0.0107
220,600,0.012
240,616,0.01232
260,610,0.0122
280,513,0.01026
300,600,0.012
320,492,0.00984
340,478,0.00956
360,530,0.0106
380,521,0.01042
400,418,0.00836
420,414,0.00828
440,465,0.0093
460,512,0.01024
480,414,0.00828
500,381,0.00762
520,419,0.00838
540,383,0.00766
560,330,0.0066
580,363,0.00726
600,515,0.0103
630,361,0.00722
660,478,0.00956
690,417,0.00834
720,370,0.0074
750,333,0.00666
780,352,0.00704
810,305,0.0061
840,234,0.00468
870,236,0.00472
900,426,0.00852
950,361,0.00722
1000,335,0.0067
1050,339,0.00678
1100,269,0.00538
1150,281,0.00562
1200,303,0.00606
1250,257,0.00514
1310,208,0.00416
1370,184,0.00368
1430,192,0.00384
1490,149,0.00298
1550,209,0.00418
1610,114,0.00228
1680,141,0.00282
1750,80,0.0016
1820,97,0.00194
1890,124,0.00248
1970,109,0.00218
2050,69,0.00138
