Bin , nEvents , Efficiencies
150,28,2.8e-05
200,87,8.7e-05
250,103,0.000103
300,148,0.000148
350,155,0.000155
400,137,0.000137
450,153,0.000153
500,134,0.000134
550,274,0.000274
650,1411,0.001411
