Bin , nEvents , Efficiencies
150,11003,0.022006
160,9597,0.019194
170,8425,0.01685
180,7523,0.015046
190,6775,0.01355
200,11931,0.023862
220,10202,0.020404
240,8759,0.017518
260,7472,0.014944
280,6591,0.013182
300,5679,0.011358
320,5071,0.010142
340,4466,0.008932
360,3913,0.007826
380,3442,0.006884
400,3125,0.00625
420,2810,0.00562
440,2623,0.005246
460,2354,0.004708
480,2121,0.004242
500,1936,0.003872
520,1744,0.003488
540,1632,0.003264
560,1391,0.002782
580,1355,0.00271
600,1802,0.003604
630,1585,0.00317
660,1380,0.00276
690,1266,0.002532
720,1204,0.002408
750,1032,0.002064
780,901,0.001802
810,845,0.00169
840,749,0.001498
870,702,0.001404
900,1024,0.002048
950,817,0.001634
1000,672,0.001344
1050,621,0.001242
1100,516,0.001032
1150,504,0.001008
1200,394,0.000788
1250,393,0.000786
1310,366,0.000732
1370,290,0.00058
1430,261,0.000522
1490,243,0.000486
1550,180,0.00036
1610,181,0.000362
1680,183,0.000366
1750,146,0.000292
1820,116,0.000232
1890,109,0.000218
1970,95,0.00019
2050,76,0.000152
