Bin , nEvents , Efficiencies
50,1,4e-05
100,1,4e-05
150,2,8e-05
200,1,4e-05
250,4,0.00016
300,0,0
350,4,0.00016
400,4,0.00016
500,2,8e-05
600,18,0.00072
