bin_HH,nEvents,Efficiencies
50,73,7.3e-05
100,125,0.000125
150,73,7.3e-05
200,49,4.9e-05
250,32,3.2e-05
300,31,3.1e-05
350,29,2.9e-05
400,33,3.3e-05
500,20,2e-05
600,45,4.5e-05
