Bin , nEvents , Efficiencies
150,327,0.00654
160,413,0.00826
170,355,0.0071
180,364,0.00728
190,365,0.0073
200,776,0.01552
220,709,0.01418
240,688,0.01376
260,698,0.01396
280,625,0.0125
300,622,0.01244
320,599,0.01198
340,596,0.01192
360,596,0.01192
380,548,0.01096
400,533,0.01066
420,490,0.0098
440,462,0.00924
460,470,0.0094
480,446,0.00892
500,412,0.00824
520,390,0.0078
540,363,0.00726
560,386,0.00772
580,326,0.00652
600,501,0.01002
630,432,0.00864
660,394,0.00788
690,419,0.00838
720,386,0.00772
750,330,0.0066
780,343,0.00686
810,296,0.00592
840,280,0.0056
870,264,0.00528
900,376,0.00752
950,374,0.00748
1000,285,0.0057
1050,254,0.00508
1100,242,0.00484
1150,214,0.00428
1200,197,0.00394
1250,201,0.00402
1310,199,0.00398
1370,160,0.0032
1430,138,0.00276
1490,120,0.0024
1550,130,0.0026
1610,99,0.00198
1680,88,0.00176
1750,81,0.00162
1820,59,0.00118
1890,61,0.00122
1970,46,0.00092
2050,49,0.00098
