Bin , nEvents , Efficiencies
152.41,57,0.00114
165.05,80,0.0016
178.75,103,0.00206
193.57,131,0.00262
209.63,124,0.00248
227.02,155,0.0031
245.86,224,0.00448
266.25,248,0.00496
288.34,325,0.0065
312.26,348,0.00696
338.16,413,0.00826
366.21,491,0.00982
396.59,596,0.01192
429.49,608,0.01216
465.12,783,0.01566
503.71,945,0.0189
545.49,1083,0.02166
590.74,1235,0.0247
639.75,1430,0.0286
692.82,1568,0.03136
750.29,1704,0.03408
812.54,2002,0.04004
879.94,2084,0.04168
952.94,2113,0.04226
1032,2341,0.04682
1117.6,2298,0.04596
1210.3,2126,0.04252
1310.7,2092,0.04184
1419.4,1947,0.03894
1537.2,1656,0.03312
1664.7,1396,0.02792
1802.8,1152,0.02304
1952.4,931,0.01862
2114.3,736,0.01472
2289.7,540,0.0108
2479.7,368,0.00736
