Bin , nEvents , Efficiencies
150,82,0.00328
160,122,0.00488
170,106,0.00424
180,104,0.00416
190,104,0.00416
200,201,0.00804
220,211,0.00844
240,228,0.00912
260,239,0.00956
280,221,0.00884
300,216,0.00864
320,176,0.00704
340,206,0.00824
360,233,0.00932
380,187,0.00748
400,198,0.00792
420,212,0.00848
440,189,0.00756
460,186,0.00744
480,179,0.00716
500,194,0.00776
520,191,0.00764
540,171,0.00684
560,180,0.0072
580,177,0.00708
600,264,0.01056
630,233,0.00932
660,205,0.0082
690,224,0.00896
720,206,0.00824
750,204,0.00816
780,205,0.0082
810,196,0.00784
840,191,0.00764
870,179,0.00716
900,291,0.01164
950,293,0.01172
1000,248,0.00992
1050,265,0.0106
1100,217,0.00868
1150,216,0.00864
1200,178,0.00712
1250,201,0.00804
1310,180,0.0072
1370,183,0.00732
1430,173,0.00692
1490,156,0.00624
1550,151,0.00604
1610,160,0.0064
1680,138,0.00552
1750,136,0.00544
1820,129,0.00516
1890,131,0.00524
1970,112,0.00448
2050,87,0.00348
