bin_HH,nEvents,Efficiencies
150,0,0.0
200,0,0.0
250,0,0.0
300,1,2e-05
350,0,0.0
400,0,0.0
450,2,4e-05
500,1,2e-05
550,1,2e-05
650,31,0.00062
