Bin , nEvents , Efficiencies
150,471,0.000942
200,1160,0.00232
250,1098,0.002196
300,1034,0.002068
350,931,0.001862
400,750,0.0015
450,648,0.001296
500,1051,0.002102
600,809,0.001618
700,537,0.001074
800,403,0.000806
900,311,0.000622
1000,299,0.000598
1150,367,0.000734
