bin_HH,nEvents,Efficiencies
150,910,0.00091
200,2378,0.002378
250,2833,0.002833
300,2938,0.002938
350,2929,0.002929
400,2805,0.002805
450,2580,0.00258
500,4577,0.004577
600,3829,0.003829
700,3217,0.003217
800,2606,0.002606
900,2150,0.00215
1000,2428,0.002428
1150,3470,0.00347
