bin_HH,nEvents,Efficiencies
50,1,2e-05
100,4,8e-05
150,2,4e-05
200,0,0.0
250,3,6e-05
300,0,0.0
350,0,0.0
400,3,6e-05
500,4,8e-05
600,13,0.00026
