Bin , nEvents , Efficiencies
150,7,0.000140017
160,11,0.000220026
170,13,0.000260031
180,19,0.000380046
190,20,0.000400048
200,45,0.000900108
220,54,0.00108013
240,76,0.00152018
260,90,0.00180022
280,105,0.00210025
300,119,0.00238029
320,126,0.0025203
340,139,0.00278033
360,148,0.00296036
380,137,0.00274033
400,164,0.00328039
420,193,0.00386046
440,170,0.00340041
460,222,0.00444053
480,184,0.00368044
500,198,0.00396048
520,188,0.00376045
540,208,0.0041605
560,208,0.0041605
580,239,0.00478057
600,362,0.00724087
630,327,0.00654078
660,331,0.00662079
690,372,0.00744089
720,389,0.00778093
750,353,0.00706085
780,403,0.00806097
810,385,0.00770092
840,367,0.00734088
870,380,0.00760091
900,655,0.0131016
950,643,0.0128615
1000,682,0.0136416
1050,681,0.0136216
1100,633,0.0126615
1150,660,0.0132016
1200,593,0.0118614
1250,690,0.0138017
1310,665,0.0133016
1370,651,0.0130216
1430,660,0.0132016
1490,644,0.0128815
1550,619,0.0123815
1610,650,0.0130016
1680,623,0.0124615
1750,605,0.0121015
1820,537,0.0107413
1890,586,0.0117214
1970,532,0.0106413
2050,485,0.00970116
