Bin , nEvents , Efficiencies
150,173,0.00692
160,167,0.00668
170,174,0.00696
180,180,0.0072
190,151,0.00604
200,325,0.013
220,374,0.01496
240,350,0.014
260,332,0.01328
280,362,0.01448
300,273,0.01092
320,313,0.01252
340,294,0.01176
360,295,0.0118
380,275,0.011
400,257,0.01028
420,223,0.00892
440,234,0.00936
460,230,0.0092
480,231,0.00924
500,218,0.00872
520,211,0.00844
540,183,0.00732
560,159,0.00636
580,164,0.00656
600,258,0.01032
630,257,0.01028
660,226,0.00904
690,201,0.00804
720,207,0.00828
750,183,0.00732
780,171,0.00684
810,186,0.00744
840,149,0.00596
870,160,0.0064
900,194,0.00776
950,180,0.0072
1000,148,0.00592
1050,166,0.00664
1100,166,0.00664
1150,117,0.00468
1200,109,0.00436
1250,97,0.00388
1310,101,0.00404
1370,88,0.00352
1430,76,0.00304
1490,81,0.00324
1550,66,0.00264
1610,52,0.00208
1680,48,0.00192
1750,47,0.00188
1820,42,0.00168
1890,29,0.00116
1970,31,0.00124
2050,25,0.001
