Bin , nEvents , Efficiencies
152.41,268,0.00536
165.05,289,0.00578
178.75,361,0.00722
193.57,392,0.00784
209.63,470,0.0094
227.02,525,0.0105
245.86,604,0.01208
266.25,651,0.01302
288.34,722,0.01444
312.26,752,0.01504
338.16,833,0.01666
366.21,900,0.018
396.59,997,0.01994
429.49,1091,0.02182
465.12,1166,0.02332
503.71,1175,0.0235
545.49,1269,0.02538
590.74,1267,0.02534
639.75,1350,0.027
692.82,1383,0.02766
750.29,1408,0.02816
812.54,1467,0.02934
879.94,1447,0.02894
952.94,1393,0.02786
1032,1396,0.02792
1117.6,1307,0.02614
1210.3,1207,0.02414
1310.7,1187,0.02374
1419.4,1114,0.02228
1537.2,997,0.01994
1664.7,876,0.01752
1802.8,760,0.0152
1952.4,659,0.01318
2114.3,544,0.01088
2289.7,423,0.00846
2479.7,345,0.0069
